iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.413968563079834,5.358674640655518,0.006286280820736824,0.024587141023430466,0.04078060041764853,5.999999999999999e-06,4.1911091804504395
200,0.3615971803665161,0.33926437139511106,0.8061981531505642,0.9943267812326378,0.9997150219361266,0.0005991244731962367,0.7472503781318665
400,0.34119436144828796,0.33709972858428955,0.8076685441692051,0.9946452861275552,0.9997892599191525,0.000592154290705034,0.2618425488471985
600,0.33923619985580444,0.3357076472043991,0.8076565703009752,0.9944584937831676,0.9997868651455064,0.0005783944497878825,0.4606862962245941
800,0.336625337600708,0.3346202802658081,0.8048115792095332,0.9945997854282813,0.9997940494664445,0.0005582013230968246,0.19267982244491577
1000,0.34243345260620117,0.33318920254707335,0.8071967737609441,0.9946644443167232,0.9997868651455064,0.0005320979020061972,0.18467406928539276
1200,0.329829603433609,0.3323849332332611,0.8083318964691457,0.9945614690499454,0.9997964442400904,0.0005007602514107518,0.16212198138237
1400,0.32176673412323,0.3329901069402695,0.8076182539226392,0.9941184359254364,0.9997964442400904,0.0004649999999999999,0.18543623387813568
1600,0.33799922466278076,0.331933022737503,0.8092083836235799,0.9941783052665862,0.9997964442400904,0.00042574331950148453,0.17133203148841858
1800,0.3257901668548584,0.3313780331611633,0.8091820411134739,0.9946979711477671,0.9997988390137365,0.00038400693731953194,0.14704416692256927
2000,0.3313729465007782,0.33164675533771515,0.8070075866429105,0.9937304825947851,0.9997964442400904,0.00034087180382954207,0.19345737993717194
2200,0.3237120807170868,0.33098045766353607,0.807737992604939,0.9946812077322451,0.9997964442400904,0.0002974550963310628,0.13515989482402802
2400,0.33537134528160095,0.3305129474401474,0.8093688334578616,0.994264517117842,0.9997988390137365,0.00025488128474255775,0.13660801947116852
2600,0.3334265351295471,0.3301828384399414,0.8078194149089029,0.9945973906546354,0.9997964442400904,0.0002142530084211753,0.14970684051513672
2800,0.3364199101924896,0.32990297496318816,0.8088850891813706,0.9946596547694312,0.9997988390137365,0.00017662251838258794,0.15308484435081482
3000,0.3294562101364136,0.3297190999984741,0.8085953215702052,0.9944608885568136,0.9997964442400904,0.00014296442455240816,0.15994209051132202
3200,0.3300710618495941,0.3297628539800644,0.8082744219016419,0.9943243864589919,0.9997988390137365,0.00011415045388105474,0.13475407660007477
3400,0.33161085844039917,0.3293148225545883,0.8093568595896315,0.9947913673199609,0.9997964442400904,9.092687307363334e-05,0.1332293301820755
3600,0.3202764093875885,0.32925391018390654,0.8088036668774068,0.9946309174856792,0.9997964442400904,7.389516067427072e-05,0.16047538816928864
3800,0.32580965757369995,0.32894844651222227,0.8093089641167117,0.9946740234113072,0.9997988390137365,6.349642908776353e-05,0.13384824991226196
4000,0.3243083953857422,0.3288481283187866,0.8091245665459701,0.994776998678085,0.9997988390137365,6e-05,0.1785925328731537
