iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.333872318267822,5.3233467483520505,0.004169300917677261,0.021308695902063336,0.03540433358238979,5.999999999999999e-06,2.2808077335357666
200,0.3529496192932129,0.3465604400634766,0.8055611433607296,0.9941974634557542,0.9997389696725866,0.0005991244731962367,0.15877769887447357
400,0.33454740047454834,0.33681322932243346,0.8068423472613369,0.9943842558001418,0.9997964442400904,0.000592154290705034,0.1342204511165619
600,0.3377068340778351,0.33415634036064146,0.8066555549169493,0.9945758376918213,0.9997988390137365,0.0005783944497878825,0.15191905200481415
800,0.32886576652526855,0.331865131855011,0.8094502557618254,0.994269306665134,0.9997868651455064,0.0005582013230968246,0.10425850003957748
1000,0.32724860310554504,0.3314659416675568,0.8083534494319596,0.9935436902503976,0.9997964442400904,0.0005320979020061972,0.11210761964321136
1200,0.33258387446403503,0.33173777401447296,0.8084707933406134,0.994729103205165,0.9997988390137365,0.0005007602514107518,0.14751283824443817
1400,0.33581873774528503,0.33119464218616484,0.8090144069582543,0.9942309902867981,0.9997964442400904,0.0004649999999999999,0.13695284724235535
1600,0.3314177691936493,0.330550012588501,0.8088084564246988,0.9947171293369351,0.9997988390137365,0.00042574331950148453,0.10174397379159927
1800,0.32730820775032043,0.33087014496326445,0.8085474260972852,0.994741077073395,0.9997964442400904,0.00038400693731953194,0.11876843869686127
2000,0.32652178406715393,0.32993511378765106,0.809141329961492,0.994736287526103,0.9997748912772765,0.00034087180382954207,0.09454748779535294
2200,0.3370729982852936,0.33025072574615477,0.8090383546947143,0.9946117592965112,0.9997940494664445,0.0002974550963310628,0.12671715021133423
2400,0.33309778571128845,0.33026632070541384,0.8087557714044868,0.9946740234113072,0.9997988390137365,0.00025488128474255775,0.1278723180294037
2600,0.3257017731666565,0.3294423568248749,0.8092874111538977,0.994269306665134,0.9997988390137365,0.0002142530084211753,0.12080775201320648
2800,0.32968729734420776,0.32948741674423215,0.8092251470391019,0.994767419583501,0.9997341801252946,0.00017662251838258794,0.0992027074098587
3000,0.33119359612464905,0.3293869948387146,0.8088324041611586,0.9942357798340901,0.9997988390137365,0.00014296442455240816,0.08947940915822983
3200,0.3246418833732605,0.32957133173942565,0.8089329846542904,0.9947171293369351,0.9997988390137365,0.00011415045388105474,0.11894527077674866
3400,0.3267289996147156,0.3289430326223373,0.8090790658466962,0.9946165488438032,0.9997988390137365,9.092687307363334e-05,0.10556323081254959
3600,0.3265402913093567,0.32890220403671266,0.8092538843228538,0.9946740234113072,0.9997988390137365,7.389516067427072e-05,0.11760210245847702
3800,0.3322368860244751,0.32884704649448393,0.8090072226373163,0.9944920206142115,0.9997988390137365,6.349642908776353e-05,0.13368789851665497
4000,0.32504162192344666,0.32885072112083436,0.8086072954384351,0.9947123397896431,0.9997988390137365,6e-05,0.09947377443313599
