iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.410860538482666,5.352606182098389,0.008684172528311227,0.030373976360898534,0.04686049629736587,5.999999999999999e-06,4.034191131591797
200,0.35015660524368286,0.3483035558462143,0.8014836320881207,0.9937704985663895,0.9996854308050909,0.0005991244731962367,0.24300439655780792
400,0.3494035005569458,0.34188736975193024,0.8038815775902969,0.993579694300625,0.9997215289094247,0.000592154290705034,0.25630080699920654
600,0.3516298234462738,0.34207328617572785,0.802177231378535,0.9937344004620557,0.9997369995255678,0.0005783944497878825,0.26083412766456604
800,0.3396299481391907,0.3398165220022202,0.8032086057880732,0.9938607438272241,0.9997447348336393,0.0005582013230968246,0.22369106113910675
1000,0.34278443455696106,0.339758420586586,0.8028682522329256,0.9938581653912003,0.9997524701417109,0.0005320979020061972,0.1976490467786789
1200,0.3342401683330536,0.3395702517032623,0.8002227768724602,0.9938065966707234,0.9997344210895439,0.0005007602514107518,0.5369865894317627
1400,0.3491060137748718,0.33944352746009826,0.8026980754553518,0.9938607438272241,0.9997627838858062,0.0004649999999999999,0.28851836919784546
1600,0.3463550806045532,0.3399261969327927,0.8017027991501475,0.9936854101776027,0.9997627838858062,0.00042574331950148453,0.21610665321350098
1800,0.3407555818557739,0.3382426905632019,0.801493945832216,0.9937447142061511,0.9997627838858062,0.00038400693731953194,0.14541186392307281
2000,0.3440646529197693,0.33758305311203,0.8019451721363889,0.9937498710781988,0.9997447348336393,0.00034087180382954207,0.18671424686908722
2200,0.3328973948955536,0.33750694096088407,0.8034226159780523,0.9937601848222942,0.999749891705687,0.0002974550963310628,0.16544069349765778
2400,0.3417021334171295,0.33818682372570036,0.8029533406217125,0.9936596258173642,0.9997447348336393,0.00025488128474255775,0.18280403316020966
2600,0.3338095247745514,0.3369165742397308,0.8037268714288661,0.9936854101776027,0.999749891705687,0.0002142530084211753,0.16697734594345093
2800,0.3381764590740204,0.3365224415063858,0.8033994100538377,0.993814331978795,0.9997627838858062,0.00017662251838258794,0.19131924211978912
3000,0.3306533396244049,0.33638840794563296,0.8038016460735576,0.9938401163390334,0.999749891705687,0.00014296442455240816,0.14398573338985443
3200,0.3395751118659973,0.3362158823013306,0.8036056849357454,0.993780812310485,0.999749891705687,0.00011415045388105474,0.13533620536327362
3400,0.33356383442878723,0.33611601650714873,0.8037062439406754,0.9937344004620557,0.999749891705687,9.092687307363334e-05,0.1497158706188202
3600,0.34388723969459534,0.33589505791664126,0.8034148806699808,0.9936854101776027,0.999749891705687,7.389516067427072e-05,0.15398475527763367
3800,0.3391745984554291,0.33585657060146334,0.8040672249840137,0.9936854101776027,0.999749891705687,6.349642908776353e-05,0.11287390440702438
4000,0.3287637233734131,0.33574961304664613,0.8039486169269168,0.9938839497514388,0.999749891705687,6e-05,0.12125387787818909
