iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.333723545074463,5.322962217330932,0.004221985937889151,0.02125361610820545,0.035780313044811,5.999999999999999e-06,2.280791759490967
200,0.353255957365036,0.3465133899450302,0.8050462670268407,0.994266911891488,0.9997246010307106,0.0005991244731962367,0.16029508411884308
400,0.33456283807754517,0.33688105940818786,0.8068686897714428,0.9944800467459816,0.9997964442400904,0.000592154290705034,0.13768340647220612
600,0.33831900358200073,0.3341150724887848,0.8066052646703834,0.9945758376918213,0.9997988390137365,0.0005783944497878825,0.15414386987686157
800,0.3288785517215729,0.33183824121952055,0.8093999655152595,0.994269306665134,0.9997868651455064,0.0005582013230968246,0.10514698922634125
1000,0.3278634548187256,0.3315607839822769,0.808200183918616,0.9935197425139376,0.9997964442400904,0.0005320979020061972,0.11397287249565125
1200,0.33252501487731934,0.3317366850376129,0.8086551909113551,0.9946740234113072,0.9997988390137365,0.0005007602514107518,0.14796385169029236
1400,0.3363434076309204,0.33125137150287626,0.8089641167116884,0.9942309902867981,0.9997964442400904,0.0004649999999999999,0.1377880573272705
1600,0.33131980895996094,0.33050620317459106,0.808674349100523,0.9947171293369351,0.9997916546927984,0.00042574331950148453,0.10045566409826279
1800,0.3271300792694092,0.3308382940292358,0.8084971358507194,0.994741077073395,0.9997964442400904,0.00038400693731953194,0.1196579858660698
2000,0.3267431855201721,0.32990910291671754,0.8094837825928693,0.9947075502423511,0.9997748912772765,0.00034087180382954207,0.09448269754648209
2200,0.3371928036212921,0.33030053913593294,0.8092299365863939,0.9946165488438032,0.9997964442400904,0.0002974550963310628,0.12783829867839813
2400,0.33322617411613464,0.33026609480381014,0.8085881372492671,0.9946740234113072,0.9997988390137365,0.00025488128474255775,0.12778516113758087
2600,0.3257479667663574,0.32944104850292205,0.8090838553939882,0.994269306665134,0.9997988390137365,0.0002142530084211753,0.12194766849279404
2800,0.32949069142341614,0.32948447585105894,0.8092467000019158,0.994767419583501,0.9997341801252946,0.00017662251838258794,0.09799594432115555
3000,0.33121153712272644,0.32939761638641357,0.8089976435427323,0.9942357798340901,0.9997988390137365,0.00014296442455240816,0.09018412977457047
3200,0.3247334659099579,0.3295683372020721,0.8089665114853344,0.9947171293369351,0.9997988390137365,0.00011415045388105474,0.11835414916276932
3400,0.326646625995636,0.32894304931163787,0.8091149874513861,0.9946165488438032,0.9997988390137365,9.092687307363334e-05,0.10536111891269684
3600,0.32665079832077026,0.3289020621776581,0.8089760905799184,0.9946740234113072,0.9997988390137365,7.389516067427072e-05,0.11887352168560028
3800,0.33241984248161316,0.32885982394218444,0.8091197769986781,0.9944920206142115,0.9997988390137365,6.349642908776353e-05,0.13420437276363373
4000,0.32511016726493835,0.3288589149713516,0.8086216640803111,0.994755445715271,0.9997988390137365,6e-05,0.10025416314601898
