iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.539532661437988,5.40218077659607,0.0027359812182268573,0.013591355661664703,0.031530764462669184,5.999999999999999e-06,40.899505615234375
200,0.3389221131801605,0.3421822512149811,0.8124002388591072,0.9958245066719342,0.9999159906181955,0.0005991244731962367,0.4114049971103668
400,0.31316813826560974,0.315560000538826,0.8178290613427424,0.9961809789136452,0.9999841063331721,0.000592154290705034,0.1826568841934204
600,0.3152753412723541,0.3136613315343857,0.8189711348305168,0.9959266802443992,0.999979565285507,0.0005783944497878825,0.20051725208759308
800,0.3091966211795807,0.31263240993022917,0.8188871254487122,0.9962104957234683,0.9999841063331721,0.0005582013230968246,0.15263696014881134
1000,0.3078003525733948,0.31219992995262147,0.8200496336509796,0.9960470180075245,0.999979565285507,0.0005320979020061972,0.12696197628974915
1200,0.31283360719680786,0.31128029346466063,0.8189234538300332,0.9962400125332915,0.999979565285507,0.0005007602514107518,0.20845843851566315
1400,0.31341448426246643,0.31061109840869905,0.8195932583606363,0.9962695293431147,0.999979565285507,0.0004649999999999999,0.14403077960014343
1600,0.30997076630592346,0.3110460841655731,0.8198225812677242,0.9960946990080082,0.999979565285507,0.00042574331950148453,0.1983732134103775
1800,0.31329965591430664,0.3106108456850052,0.8185374647784991,0.9961946020566405,0.999979565285507,0.00038400693731953194,0.1811920553445816
2000,0.30969345569610596,0.31050485849380494,0.818258190347095,0.9961946020566405,0.999979565285507,0.00034087180382954207,0.20998427271842957
2200,0.31604477763175964,0.3103317564725876,0.820108667270626,0.9961332979131615,0.9999841063331721,0.0002974550963310628,0.16215720772743225
2400,0.3111990690231323,0.3102081078290939,0.8201858650809328,0.9962400125332915,0.999979565285507,0.00025488128474255775,0.17397063970565796
2600,0.3056471645832062,0.3096876060962677,0.8193548533582182,0.9961015105795058,0.999979565285507,0.0002142530084211753,0.16984246671199799
2800,0.309747576713562,0.3095482140779495,0.8205854772754623,0.9961946020566405,0.999979565285507,0.00017662251838258794,0.1366478055715561
3000,0.3084487020969391,0.3094797503948212,0.8197590066004128,0.9961946020566405,0.9999841063331721,0.00014296442455240816,0.14473232626914978
3200,0.30880650877952576,0.3090945345163345,0.8199860589836682,0.9961469210561569,0.999979565285507,0.00011415045388105474,0.13523152470588684
3400,0.3077237904071808,0.30905998647212984,0.8200950441276307,0.9962808819622775,0.999979565285507,9.092687307363334e-05,0.1449897140264511
3600,0.3050122559070587,0.308917897939682,0.8194797321690087,0.9961332979131615,0.9999841063331721,7.389516067427072e-05,0.14701835811138153
3800,0.3097383677959442,0.3087205559015274,0.8201654303664399,0.9962445535809566,0.9999841063331721,6.349642908776353e-05,0.13721606135368347
4000,0.305641770362854,0.308950383067131,0.8199134022210264,0.9962422830571241,0.9999841063331721,6e-05,0.11289069801568985
