iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.570265293121338,5.407973461151123,0.002220090641917291,0.012639433240554599,0.031078912202721142,5.999999999999999e-06,50.42466735839844
200,0.3530542552471161,0.347797247171402,0.8035196214061988,0.9952133714503885,0.9997761055085115,0.0005991244731962367,0.19219079613685608
400,0.35495850443840027,0.34113466918468477,0.8032203098228405,0.995093175460221,0.9997878894291162,0.000592154290705034,0.23515789210796356
600,0.3436448574066162,0.3401154446601868,0.8044623350545713,0.9953123563834676,0.9998232411909301,0.0005783944497878825,0.1714475154876709
800,0.33699217438697815,0.3402046740055084,0.8029563500012963,0.9951898036091792,0.9998468090321395,0.0005582013230968246,0.1866476684808731
1000,0.3424313962459564,0.33929318964481353,0.8037411591135664,0.9953099995993467,0.9998420954638976,0.0005320979020061972,0.14081940054893494
1200,0.33463457226753235,0.33995425939559937,0.8048040687521064,0.995128527222035,0.9998420954638976,0.0005007602514107518,0.2159712314605713
1400,0.3454412817955017,0.3386777055263519,0.8035431892474081,0.9949871201747791,0.999865663305107,0.0004649999999999999,0.25517532229423523
1600,0.34598901867866516,0.3378858333826065,0.8048299933774367,0.9953052860311048,0.9998491658162604,0.00042574331950148453,0.13543938100337982
1800,0.3387349545955658,0.337916174530983,0.8048677019233715,0.9951120297331885,0.9998420954638976,0.00038400693731953194,0.18451596796512604
2000,0.33971792459487915,0.3369994705915451,0.805126948176674,0.9953241403040722,0.9998703768733488,0.00034087180382954207,0.1724354773759842
2200,0.33026382327079773,0.33671077847480774,0.804749862717325,0.9952275121551141,0.9998303115432929,0.0002974550963310628,0.23017852008342743
2400,0.3425949215888977,0.3368466430902481,0.8045495360670458,0.995300572462863,0.9998420954638976,0.00025488128474255775,0.1962643265724182
2600,0.33684855699539185,0.33581161677837373,0.8047310084443575,0.9953241403040722,0.999863306520986,0.0002142530084211753,0.1736372411251068
2800,0.33269089460372925,0.3361322718858719,0.8043303551437991,0.9950672508348908,0.9998350251115348,0.00017662251838258794,0.14934024214744568
3000,0.3305055499076843,0.33564005613327025,0.8043562797691294,0.9952487232122025,0.9998538793845022,0.00014296442455240816,0.146548792719841
3200,0.3356478810310364,0.3357686543464661,0.8049242647422739,0.9952275121551141,0.9998303115432929,0.00011415045388105474,0.13386119902133942
3400,0.3343401551246643,0.3351413184404373,0.8049973250500227,0.9952392960757188,0.999865663305107,9.092687307363334e-05,0.13660097122192383
3600,0.34091657400131226,0.33520456552505495,0.8041418124141246,0.9952628639169281,0.9998303115432929,7.389516067427072e-05,0.13402090966701508
3800,0.3386344909667969,0.3351123380661011,0.8043303551437991,0.9953241403040722,0.999860949736865,6.349642908776353e-05,0.12126452475786209
4000,0.33367103338241577,0.33493694961071013,0.8048653451392506,0.9952416528598397,0.9998585929527442,6e-05,0.13881783187389374
